Regulatory gene;Ortholog of the regulatory gene;Target gene;Ortholog of the target gene;Mode of regulation;Reference (PubMed)
acoR (AL347_21955);acoR;PA4148 (AL347_21950);PA4148;+;30058099
acoR (AL347_21955);acoR;acoX (AL347_21945);acoX;+;30058099
acoR (AL347_21955);acoR;acoA (AL347_21940);acoA;+;30058099
acoR (AL347_21955);acoR;acoB (AL347_21930);acoB;+;30058099
acoR (AL347_21955);acoR;acoC (AL347_21930);acoC;+;30058099
acoR (AL347_21955);acoR;PA4153 (AL347_21925);PA4153;+;30058099
agmR (AL347_02720);agmR;exaA (AL347_02700);exaA;+;18974177
agmR (AL347_02720);agmR;exaB (AL347_02695);exaB;+;18974177
agmR (AL347_02720);agmR;exaC (AL347_02690);exaC;+;18974177
agmR (AL347_02720);agmR;pqqA (AL347_02685);pqqA;+;18974177
agmR (AL347_02720);agmR;pqqB (AL347_02680);pqqB;+;18974177
agmR (AL347_02720);agmR;pqqC (AL347_02675);pqqC;+;18974177
agmR (AL347_02720);agmR;pqqD (AL347_02670);pqqD;+;18974177
agmR (AL347_02720);agmR;pqqE (AL347_02665);pqqE;+;18974177
agmR (AL347_02720);agmR;pqqH (AL347_02660);pqqH;+;19902179
agtR (AL347_20885);agtR;agtA (AL347_20895);agtA;+;23982201
agtR (AL347_20885);agtR;agtB (AL347_20900);agtB;+;23982201
agtR (AL347_20885);agtR;agtC (AL347_20905);agtC;+;23982201
agtR (AL347_20885);agtR;agtD (AL347_20910);agtD;+;23982201
aguR (AL347_19255);aguR;aguA (AL347_19245);aguA;-;18974177
aguR (AL347_19255);aguR;aguB (AL347_19250);aguB;-;18974177
algB (AL347_17235);algB;algD (AL347_25110);algD;+;22088575
algD (AL347_25110);algD;algD (AL347_25110);algD;?;18440972*
algQ (AL347_16020);algQ;lasR (AL347_05615);lasR;-;18440972
algQ (AL347_16020);algQ;rhlR (AL347_25325);rhlR;-;18440972
algQ (AL347_16020);algQ;rpoD (AL347_20760);rpoD;-;23991093, 18974177
algR (AL347_16050);algR;PA0328 (AL347_19440);PA0328 (aaaA);+;18440972
algR (AL347_16050);algR;ldcA (AL347_03550);ldcA;+;18440972
algR (AL347_16050);algR;PA1819 (AL347_03545);PA1819;+;18440972
algR (AL347_16050);algR;braZ (AL347_02755);braZ;+;18440972
algR (AL347_16050);algR;PA2042 (AL347_02395);PA2042;+;18440972
algR (AL347_16050);algR;rhlB (AL347_25320);rhlB;-;18440972
algR (AL347_16050);algR;argG (AL347_25185);argG;-;18440972
algR (AL347_16050);algR;alg8 (AL347_25105);alg8;+;18440972
algR (AL347_16050);algR;alg44 (AL347_25100);alg44;+;18440972
